i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
976,385,ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08mlq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
894,237,ACS,WFC,13476,ANY,14.815349,-72.050511,CLEAR1L,F814W,Kallivayalil,341,2013-10-03,smc_fields/ACS/13476_ANY/jcc211rxq_flt.fits,39.0,smc,NGC346-FIELD,
895,238,ACS,WFC,13476,ANY,14.818733,-72.050104,F606W,CLEAR2L,Kallivayalil,348,2013-10-03,smc_fields/ACS/13476_ANY/jcc211rzq_flt.fits,39.0,smc,NGC346-FIELD,
896,239,ACS,WFC,13476,ANY,14.821539,-72.050801,F606W,CLEAR2L,Kallivayalil,368,2013-10-03,smc_fields/ACS/13476_ANY/jcc211s2q_flt.fits,39.0,smc,NGC346-FIELD,
897,240,ACS,WFC,13476,ANY,14.820962,-72.051907,F606W,CLEAR2L,Kallivayalil,368,2013-10-03,smc_fields/ACS/13476_ANY/jcc211s6q_flt.fits,39.0,smc,NGC346-FIELD,
898,241,ACS,WFC,13476,ANY,14.817578,-72.052315,F606W,CLEAR2L,Kallivayalil,368,2013-10-03,smc_fields/ACS/13476_ANY/jcc211scq_flt.fits,39.0,smc,NGC346-FIELD,
899,242,ACS,WFC,13476,ANY,14.814771,-72.051617,CLEAR1L,F814W,Kallivayalil,348,2013-10-03,smc_fields/ACS/13476_ANY/jcc211sfq_flt.fits,39.0,smc,NGC346-FIELD,
1022,285,WFC3,UVIS,12940,SMC-ASS-45,14.77862,-72.178631,...,...,Massey,1,2012-10-02,smc_fields/WFC3/12940_SMC-ASS-45/iby721m8q_flt.fits,56.0,smc,NGC346,POLYGON 14.87898238 -72.17613204 14.76800286 -72.14592752 14.67705951 -72.18165867 14.78568485 -72.21195185 14.87898238 -72.17613204 14.87898238 -72.17613204
1023,286,WFC3,UVIS,12940,SMC-ASS-45,14.77862,-72.178631,...,...,Massey,1,2012-10-02,smc_fields/WFC3/12940_SMC-ASS-45/iby721m9q_flt.fits,56.0,smc,NGC346,POLYGON 14.87898238 -72.17613204 14.76800286 -72.14592752 14.67705951 -72.18165867 14.78568485 -72.21195185 14.87898238 -72.17613204 14.87898238 -72.17613204
1024,348,ACS,WFC,10248,NGC346,14.77575,-72.175333,F555W,CLEAR2L,Nota,3,2004-07-13,clusters/ACS/10248_NGC346/j92f01krq_flt.fits,56.0,smc,NGC346,POLYGON 14.82795013 -72.16274374 14.73597639 -72.16138531 14.71117006 -72.21717587 14.80553862 -72.21918385 14.82795013 -72.16274374 14.82795013 -72.16274374
1025,349,ACS,WFC,10248,NGC346,14.77575,-72.175333,F555W,CLEAR2L,Nota,456,2004-07-13,clusters/ACS/10248_NGC346/j92f01ksq_flt.fits,56.0,smc,NGC346,POLYGON 14.82795013 -72.16274374 14.73597639 -72.16138531 14.71117006 -72.21717587 14.80553862 -72.21918385 14.82795013 -72.16274374 14.82795013 -72.16274374
