Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
"SL366,LW178,KMHK729",79.58333333,-65.92083333,C,1.200000048,1.100000024,130,in DEML126,[SL63] 366
BSDL1181,79.59166667,-69.48916667,C,0.5,0.550000012,0,mP,BSDL1181
"NGC1905,SL369,ESO85SC67,KMHK739",79.59583333,-67.27805556,C,0.949999988,0.949999988,0,,NGC 1905
BSDL1186,79.60416667,-69.96138889,C,0.5,0.400000006,170,,BSDL1186
"H88-268,LOGLE331",79.60416667,-69.48472222,C,0.699999988,0.600000024,100,mP,H88 268
HS220,79.60416667,-69.87444444,C,0.649999976,0.649999976,0,,[HS66] 220
"HS218,LOGLE332",79.60833333,-69.325,C,1,0.899999976,50,sup DEML130,[HS66] 218
"HS219,LOGLE333",79.62083333,-69.61666667,C,0.699999988,0.550000012,140,in BSDL1203,[HS66] 219
KMHK742,79.625,-67.91388889,C,0.550000012,0.5,120,,KMHK742
"BSDL1191,LOGLE334",79.62916667,-69.75416667,C,0.899999976,0.699999988,40,"mP,in DEML133",BSDL1191
KMHK743,79.63333333,-67.84444444,C,0.449999988,0.449999988,0,,KMHK743
BSDL1194,79.6375,-69.68666667,C,0.449999988,0.400000006,30,in LMC-N120,BSDL1194
"SL372,LW180,KMHK730",79.64583333,-64.10583333,C,1.100000024,1.100000024,0,,[SL63] 372
LOGLE335,79.65,-69.03972222,C,0.600000024,0.600000024,0,,OGLE-CL LMC 335
"NGC1916,SL361,ESO56SC98,LOGLE336",79.65833333,-69.40638889,C,2.099999905,2.099999905,0,sup DEML130  Globular Cluster,NGC 1916
"HS217,KMHK741",79.66666667,-66.21833333,CA,0.699999988,0.550000012,120,in SGshell-LMC5,[HS66] 217
BSDL1164,79.67083333,-65.82027778,CA,0.600000024,0.5,170,in SGshell-LMC5,BSDL1164
HS223B,79.67083333,-69.64638889,CN,0.5,0.5,0,in LMC-N120,[HS66] 223B
"H88-269,LOGLE337",79.67083333,-69.07944444,C,0.699999988,0.600000024,110,,H88 269
GKK-O208,79.675,-68.06666667,CA,1.460000038,1.460000038,0,,[GKK2003] O208
"SL375,KMHK744",79.67916667,-66.50638889,C,0.75,0.75,0,,[SL63] 375
"SL371,ESO56SC99,LOGLE338",79.67916667,-69.23666667,CN,1.539999962,1.539999962,0,"mP,in NGC1910",[SL63] 371
LOGLE339,79.67916667,-69.29138889,C,0.460000008,0.460000008,0,,OGLE-CL LMC 339
KMHK753,79.6875,-68.57611111,C,1,0.800000012,170,,KMHK753
"SL380,KMHK767,GKK-O12",79.69166667,-71.87027778,CA,1.5,1.299999952,0,,[SL63] 380
HS221,79.69583333,-68.6225,C,0.699999988,0.600000024,50,,[HS66] 221
LOGLE340,79.69583333,-69.22555556,C,0.639999986,0.639999986,0,mP,OGLE-CL LMC 340
H88-270,79.69583333,-69.27694444,C,0.5,0.400000006,40,in LH41,H88 270
"HS223A,LOGLE341",79.7125,-69.37055556,C,0.949999988,0.800000012,50,sup DEML130,[HS66] 223A
LOGLE342,79.72083333,-69.52194444,C,0.800000012,0.800000012,0,,OGLE-CL LMC 342
KMHK751,79.72083333,-66.96777778,CA,0.699999988,0.699999988,0,,KMHK751
BSDL1188,79.72916667,-66.51305556,CA,0.449999988,0.400000006,150,,BSDL1188
"BSDL1213,GKK-O143",79.72916667,-69.78555556,CA,0.550000012,0.5,0,in DEML133,BSDL1213
BRHT34b,79.73333333,-68.21694444,C,0.850000024,0.600000024,90,mP,BRHT34b
BSDL1212,79.73333333,-69.76027778,CA,0.600000024,0.550000012,170,in DEML133,BSDL1212
KMHK755,79.73333333,-68.125,C,0.800000012,0.649999976,140,,KMHK755
"SL378,BRHT34a,KMHK756",79.74166667,-68.21111111,C,0.800000012,0.75,100,mP,[SL63] 378
"SL377,LW183,KMHK748",79.75,-65.09416667,C,1.299999952,1.200000048,150,mP,[SL63] 377
BSDL1198,79.75416667,-67.01333333,CA,0.550000012,0.449999988,110,,BSDL1198
KMHK749,79.75833333,-65.0925,C,0.400000006,0.349999994,80,mP,KMHK749
"NGC1917,SL379,ESO56SC100,",79.75833333,-69.00111111,C,1.700000048,1.700000048,0,& LOGLE343,NGC 1917
LOGLE344,79.76666667,-69.19333333,C,0.5,0.5,0,in BSDL1217,OGLE-CL LMC 344
"HS227,LOGLE345",79.77083333,-69.81055556,C,0.899999976,0.800000012,160,in DEML133,[HS66] 227
H88-272,79.77083333,-68.87055556,CA,0.550000012,0.5,0,,H88 272
KMHK759,79.775,-68.50611111,CA,0.449999988,0.400000006,10,,KMHK759
LOGLE346,79.7875,-69.26,C,0.439999998,0.439999998,0,,OGLE-CL LMC 346
"NGC1900,SL376,LW184,ESO85SC68,",79.7875,-63.02361111,C,1.799999952,1.600000024,100,& KMHK746,NGC 1900
